exposure	outcome	id.exposure	id.outcome	samplesize	SNP	b	se	p
colon_male	bmi_male.txt	colon_male	fKIV0j	320550	rs1078643	-0.0181992337164751	0.028735632183908	0.526515990078957
colon_male	bmi_male.txt	colon_male	fKIV0j	320550	rs1129406	0.0122065727699531	0.0244131455399061	0.617075077451974
colon_male	bmi_male.txt	colon_male	fKIV0j	320550	rs13042533	0.0256410256410256	0.0278706800445931	0.357572759228743
colon_male	bmi_male.txt	colon_male	fKIV0j	320550	rs16888589	-0.0695784662265109	0.0218384966988319	0.00144231407537896
colon_male	bmi_male.txt	colon_male	fKIV0j	320550	rs1983558	0.0898778359511344	0.0366492146596859	0.014191432950923
colon_male	bmi_male.txt	colon_male	fKIV0j	320550	rs2193352	-0.00578034682080925	0.0297274979355904	0.845827892312863
colon_male	bmi_male.txt	colon_male	fKIV0j	320550	rs2860001	0.0348204570184984	0.0304678998911861	0.253097908947116
colon_male	bmi_male.txt	colon_male	fKIV0j	320550	rs28840750	-0.0094876660341556	0.0303605313092979	0.754660563059686
colon_male	bmi_male.txt	colon_male	fKIV0j	320550	rs353548	-0.079628724963361	0.0322423058133854	0.0135227549392364
colon_male	bmi_male.txt	colon_male	fKIV0j	320550	rs58658771	-0.000709219858156029	0.0262411347517731	0.978438177451517
colon_male	bmi_male.txt	colon_male	fKIV0j	320550	rs6117251	-0.0482758620689655	0.0266009852216749	0.0695523729283394
colon_male	bmi_male.txt	colon_male	fKIV0j	320550	rs6479769	0.0123076923076923	0.0276923076923077	0.65672128656377
colon_male	bmi_male.txt	colon_male	fKIV0j	320550	rs6507874	-0.0287937743190661	0.0202334630350195	0.154713857286327
colon_male	bmi_male.txt	colon_male	fKIV0j	320550	rs704017	-0.010752688172043	0.0279569892473118	0.700522394103849
colon_male	bmi_male.txt	colon_male	fKIV0j	320550	rs7121958	-0.0217186024551464	0.0273843248347498	0.427717553962505
colon_male	bmi_male.txt	colon_male	fKIV0j	320550	rs7130173	0.0221827861579414	0.0248447204968944	0.371933680494178
colon_male	bmi_male.txt	colon_male	fKIV0j	320550	rs73975586	0.0248796147672552	0.0353130016051364	0.481093153359666
colon_male	bmi_male.txt	colon_male	fKIV0j	320550	rs7520544	-0.0802187784867821	0.0282588878760255	0.00452963486656299
colon_male	bmi_male.txt	colon_male	fKIV0j	320550	rs76136269	-0.0826124567474048	0.0311418685121107	0.0079832410184054
