exposure	outcome	id.exposure	id.outcome	samplesize	SNP	b	se	p
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10002111	0.164725252851831	0.0513650035036221	0.00134147996131987
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10033843	0.166474294319244	0.0513424194801624	0.00118514303986063
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10050620	0.165113090889949	0.0513781761985235	0.00131044977119516
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs1006317	0.16751122548686	0.0512540484541357	0.00108213377506422
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10099330	0.164964790940623	0.0513754986501096	0.00132291274450327
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10101364	0.163968511430593	0.051348314021377	0.00140676276393956
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10132280	0.165569868559057	0.0514377394311194	0.00128710147219455
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10145749	0.166554323877282	0.0513346804068569	0.00117665441159063
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10168563	0.164069285946139	0.0513551779968785	0.00139930006660569
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10169594	0.163147677102398	0.0513092767595106	0.00147431859510646
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10182181	0.166608034283951	0.051604917959967	0.00124428135462573
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10185199	0.166252637994595	0.0513618960479799	0.00120841380658746
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10197031	0.169382338894715	0.0511890942928154	0.000936453484477949
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10261050	0.166491570494642	0.0513381866194498	0.00118263403650378
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10499694	0.165951222253136	0.0513737151943392	0.00123671249451973
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10506971	0.165758012596763	0.0513851760770874	0.00125623569261554
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10510419	0.168884885216841	0.051155645159114	0.000962060465611311
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10518694	0.163793539294401	0.0513264918693004	0.00141678976425464
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10733682	0.162012809461505	0.0512980293839259	0.00158710801994732
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10741329	0.16556144219651	0.0513654083981921	0.00126763063935444
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10742752	0.166533795288576	0.051345712122073	0.00118119429599487
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs1075901	0.166735508259793	0.0513320136027465	0.00116146658375743
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10761785	0.164901401684245	0.0513841287454703	0.00133109773375744
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10772983	0.165605711476984	0.051359999235448	0.00126232387824951
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10779751	0.164640123803097	0.0513715516267837	0.00135114547713206
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10829164	0.16715113596024	0.0512837054554203	0.00111670955719522
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10842240	0.164755662997951	0.0513828143206924	0.00134390582979782
BMI_combined	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	3t5TCv	NA	rs10858334	0.16551498472077	0.0513614940372547	0.00127054970242247
