ID	b	se	OR	lower_ci	upper_ci	p	Qstat	Qpval	fstat_adiposity	fstat_protein	exposure	mediator	cancer	group	adiposity	protein	protein_name	gene	uni_prot	ensembl_gene_ID	entrez_gene_ID	HGNC_ID
BMI_10015_119_proximal_Female	0.196901611096974	0.0763338487525821	1.21762423409949	1.04842314376387	1.41413205563526	0.0105120336462496	287.577315774169	0.00667973512984922	33.3935319500647	1.48362745551914	BMI	10015_119	proximal	Female	BMI	KCAB2	Voltage-gated potassium channel subunit beta-2	KCNAB2	Q13303	ENSG00000069424	8514	HGNC:6229
BMI_10015_119_proximal_Female	0.147692281676226	0.133755598626606	1.15915614788995	0.891839860031637	1.50659668333662	0.270652410285832	287.577315774169	0.00667973512984922	33.3935319500647	1.48362745551914	10015_119	BMI	proximal	Female	BMI	KCAB2	Voltage-gated potassium channel subunit beta-2	KCNAB2	Q13303	ENSG00000069424	8514	HGNC:6229
BMI_10063_10_proximal_Female	0.209711346707418	0.0757822790068097	1.23332200611328	1.06308821192528	1.43081557456889	0.0061084391760329	287.981543275182	0.00638174543169961	29.9769063736275	1.91286800262751	BMI	10063_10	proximal	Female	BMI	FANCL	E3 ubiquitin-protein ligase FANCL	FANCL	Q9NW38	ENSG00000115392	55120	HGNC:20748
BMI_10063_10_proximal_Female	0.0473755429782412	0.122835774929172	1.04851569785941	0.824166607549559	1.33393558849263	0.700085633512236	287.981543275182	0.00638174543169961	29.9769063736275	1.91286800262751	10063_10	BMI	proximal	Female	BMI	FANCL	E3 ubiquitin-protein ligase FANCL	FANCL	Q9NW38	ENSG00000115392	55120	HGNC:20748
BMI_10063_10_rectal_Female	0.0170295108218474	0.0836614070309711	1.01717533956256	0.863339865336151	1.19842221233621	0.838881434624117	279.072832860395	0.016652018889692	29.9769063736275	1.91286800262751	BMI	10063_10	rectal	Female	BMI	FANCL	E3 ubiquitin-protein ligase FANCL	FANCL	Q9NW38	ENSG00000115392	55120	HGNC:20748
BMI_10063_10_rectal_Female	0.0994894845619095	0.135697683835878	1.10460685525388	0.846641463367924	1.44117239406172	0.464194855232477	279.072832860395	0.016652018889692	29.9769063736275	1.91286800262751	10063_10	BMI	rectal	Female	BMI	FANCL	E3 ubiquitin-protein ligase FANCL	FANCL	Q9NW38	ENSG00000115392	55120	HGNC:20748
BMI_10078_5_colon_Male	0.264860473739109	0.0642289638655384	1.30324912561472	1.14909158549464	1.47808782594506	5.51475236299253e-05	262.434279652256	0.000771631312643975	29.9275590708756	1.74006368192327	BMI	10078_5	colon	Male	BMI	BAG3	BAG family molecular chaperone regulator 3	BAG3	O95817	ENSG00000151929	9531	HGNC:939
BMI_10078_5_colon_Male	0.126554357367796	0.11737186252578	1.1349111402817	0.901680988120618	1.42846895221794	0.282261226723221	262.434279652256	0.000771631312643975	29.9275590708756	1.74006368192327	10078_5	BMI	colon	Male	BMI	BAG3	BAG family molecular chaperone regulator 3	BAG3	O95817	ENSG00000151929	9531	HGNC:939
BMI_10342_55_colon_Male	0.265162642281028	0.0639810626998502	1.30364298600588	1.14999748956903	1.47781629992881	5.07640157763116e-05	261.943441575181	0.000827621126459095	32.9720410484841	1.47748368677194	BMI	10342_55	colon	Male	BMI	PIAS4	E3 SUMO-protein ligase PIAS4	PIAS4	Q8N2W9	ENSG00000105229	51588	HGNC:17002
BMI_10342_55_colon_Male	0.138710030143216	0.120301859265662	1.14879093695885	0.907481939863986	1.45426653563662	0.250315010125199	261.943441575181	0.000827621126459095	32.9720410484841	1.47748368677194	10342_55	BMI	colon	Male	BMI	PIAS4	E3 SUMO-protein ligase PIAS4	PIAS4	Q8N2W9	ENSG00000105229	51588	HGNC:17002
