sequence_id	direction_group	exposure	group
3806_55	negative	BMI	Female
8942_2	positive	BMI	Female
9003_99	positive	BMI	Female
9380_2	negative	BMI	Female
9487_60	positive	BMI	Female
10000_28	positive	BMI	Female
10001_7	positive	BMI	Female
10003_15	positive	BMI	Female
10006_25	positive	BMI	Female
10008_43	positive	BMI	Female
10011_65	positive	BMI	Female
10012_5	positive	BMI	Female
10014_31	positive	BMI	Female
10015_119	positive	BMI	Female
10022_207	positive	BMI	Female
10023_32	positive	BMI	Female
10024_44	positive	BMI	Female
10035_6	positive	BMI	Female
10036_201	positive	BMI	Female
10037_98	positive	BMI	Female
10040_63	positive	BMI	Female
10041_3	positive	BMI	Female
10042_8	positive	BMI	Female
10043_31	positive	BMI	Female
10044_12	positive	BMI	Female
10045_47	positive	BMI	Female
10046_55	positive	BMI	Female
10047_12	positive	BMI	Female
10048_7	positive	BMI	Female
10049_112	positive	BMI	Female
10054_3	positive	BMI	Female
10056_5	positive	BMI	Female
10058_1	positive	BMI	Female
10063_10	positive	BMI	Female
10064_12	positive	BMI	Female
10070_22	positive	BMI	Female
10073_22	positive	BMI	Female
10074_128	positive	BMI	Female
10076_1	positive	BMI	Female
10078_5	positive	BMI	Female
10080_9	positive	BMI	Female
10081_17	positive	BMI	Female
10082_251	positive	BMI	Female
10085_25	positive	BMI	Female
10086_39	positive	BMI	Female
10087_10	positive	BMI	Female
10088_37	positive	BMI	Female
10336_3	positive	BMI	Female
10339_48	positive	BMI	Female
10342_55	positive	BMI	Female
10344_334	positive	BMI	Female
10346_5	positive	BMI	Female
10356_21	positive	BMI	Female
10361_25	positive	BMI	Female
10362_35	positive	BMI	Female
10363_13	positive	BMI	Female
10364_6	positive	BMI	Female
10370_21	positive	BMI	Female
10372_18	positive	BMI	Female
10390_21	positive	BMI	Female
10391_1	positive	BMI	Female
10396_6	positive	BMI	Female
10418_36	positive	BMI	Female
10424_31	positive	BMI	Female
10425_3	positive	BMI	Female
10426_21	positive	BMI	Female
10430_31	positive	BMI	Female
10432_3	positive	BMI	Female
10435_2	positive	BMI	Female
10438_19	positive	BMI	Female
10440_26	positive	BMI	Female
10442_1	negative	BMI	Female
10445_20	negative	BMI	Female
10447_18	positive	BMI	Female
10449_31	positive	BMI	Female
10451_11	positive	BMI	Female
10453_7	positive	BMI	Female
10454_99	positive	BMI	Female
10455_196	positive	BMI	Female
10462_14	positive	BMI	Female
10464_6	negative	BMI	Female
10485_56	positive	BMI	Female
10490_3	positive	BMI	Female
10496_11	positive	BMI	Female
10499_1	positive	BMI	Female
10506_53	positive	BMI	Female
10507_166	positive	BMI	Female
10510_62	positive	BMI	Female
10511_10	positive	BMI	Female
10512_13	positive	BMI	Female
10513_13	positive	BMI	Female
10514_5	positive	BMI	Female
10521_10	negative	BMI	Female
10527_22	positive	BMI	Female
10530_8	positive	BMI	Female
10531_18	positive	BMI	Female
10534_40	positive	BMI	Female
10535_25	positive	BMI	Female
10539_30	positive	BMI	Female
10546_2	positive	BMI	Female
10550_37	positive	BMI	Female
10551_7	positive	BMI	Female
