sequence_id	protein	gene	adiposity	group	outcome
10078_5	BAG3	BAG3	BMI	Male	colon
10342_55	PIAS4	PIAS4	BMI	Male	colon
10435_2	ASPG	AGA	BMI	Male	colon
10435_2	ASPG	AGA	BMI	Male	proximal
10695_12	WF10B	WFDC10B	BMI	Male	distal
11107_25	TEN3	TENM3	BMI	Male	distal
11107_25	TEN3	TENM3	BMI	Male	rectal
11146_4	TBX22	TBX22	BMI	Male	rectal
11270_17	CHC10	CHCHD10	BMI	Male	proximal
11284_24	LAIR1	LAIR1	BMI	Male	rectal
11352_42	TITIN	TTN	BMI	Male	colon
11407_57	PLS3	PLSCR3	BMI	Male	rectal
11567_23	ZNF10	ZNF10	BMI	Male	overall
11573_3	SRSF6	SRSF6	BMI	Male	overall
11573_3	SRSF6	SRSF6	BMI	Male	colon
11591_43	PRC1	PRC1	BMI	Male	rectal
11593_21	MIG	CXCL9	BMI	Male	rectal
11601_26	DHX8	DHX8	BMI	Male	overall
11617_1	LFA_1_alpha_L_chain	ITGAL	BMI	Male	overall
11617_1	LFA_1_alpha_L_chain	ITGAL	BMI	Male	colon
11617_1	LFA_1_alpha_L_chain	ITGAL	BMI	Male	proximal
11667_29	TENC1	TNS2	BMI	Male	distal
11671_19	BRPF1	BRPF1	BMI	Male	colon
12400_25	UBE2T	UBE2T	BMI	Male	distal
12478_15	RL30	RPL30	BMI	Male	proximal
12618_50	Aldo_keto_reductase_1C1	AKR1C1	BMI	Male	rectal
12664_19	PTN13	PTPN13	BMI	Male	distal
12700_9	ACLY	ACLY	BMI	Male	distal
12721_4	TAXB1	TAX1BP1	BMI	Male	distal
12807_89	RHG30	ARHGAP30	BMI	Male	overall
12807_89	RHG30	ARHGAP30	BMI	Male	proximal
12844_10	BAG4	BAG4	BMI	Male	rectal
12990_39	MAP3K3	MAP3K3	BMI	Male	colon
12990_39	MAP3K3	MAP3K3	BMI	Male	proximal
12990_39	MAP3K3	MAP3K3	BMI	Male	rectal
13027_20	CBX7	CBX7	BMI	Male	rectal
13085_18	GLP1R	GLP1R	BMI	Male	distal
13130_150	HXK2	HK2	BMI	Male	proximal
13430_50	UT1	SLC14A1	BMI	Male	distal
13463_1	PXDN	PXDN	BMI	Male	colon
13481_24	TCEA2	TCEA2	BMI	Male	proximal
13513_174	PIAS3	PIAS3	BMI	Male	distal
13519_112	ARHGP	ARHGEF25	BMI	Male	overall
13532_25	NEPR1	CNEP1R1	BMI	Male	rectal
13561_5	5HT6R	HTR6	BMI	Male	colon
14063_17	OSM	OSM	BMI	Male	overall
14063_17	OSM	OSM	BMI	Male	colon
14063_17	OSM	OSM	BMI	Male	rectal
14144_3	H2A3	HIST3H2A	BMI	Male	proximal
14144_3	H2A3	HIST3H2A	BMI	Male	rectal
14615_46	4_KRA24	KRTAP2	BMI	Male	overall
14615_46	4_KRA24	KRTAP2	BMI	Male	proximal
