exposure	direction_group	outcome	group
AARSD1	negative	overall	Female
ABHD14B	negative	overall	Female
ACAA1	negative	overall	Female
ACAN	negative	overall	Female
ACE2	negative	overall	Female
ACP5	positive	overall	Female
ACP6	NA	overall	Female
ACY1	negative	overall	Female
ADAMTS13	negative	overall	Female
ADAMTS15	positive	overall	Female
ADAMTS8	negative	overall	Female
ADGRG1	negative	overall	Female
ADGRG2	positive	overall	Female
AFP	positive	overall	Female
AGER	negative	overall	Female
AGR3	NA	overall	Female
AGXT	negative	overall	Female
AKR1B1	positive	overall	Female
AKT1S1	NA	overall	Female
ALCAM	positive	overall	Female
ALDH1A1	negative	overall	Female
ALPP	negative	overall	Female
AMBP	negative	overall	Female
AMY2B	positive	overall	Female
ANG	negative	overall	Female
ANGPT1	negative	overall	Female
ANGPT2	positive	overall	Female
ANGPTL1	negative	overall	Female
ANGPTL2	negative	overall	Female
ANGPTL3	negative	overall	Female
ANGPTL7	negative	overall	Female
ANPEP	negative	overall	Female
ANXA11	NA	overall	Female
ANXA3	positive	overall	Female
ANXA4	NA	overall	Female
AOC3	negative	overall	Female
APOM	negative	overall	Female
APP	negative	overall	Female
AREG	positive	overall	Female
ARG1	negative	overall	Female
ARHGAP1	NA	overall	Female
ARHGAP25	NA	overall	Female
ARSA	negative	overall	Female
ART3	negative	overall	Female
ASAH2	negative	overall	Female
ASGR1	negative	overall	Female
ATG4A	negative	overall	Female
ATP5IF1	positive	overall	Female
ATXN10	negative	overall	Female
B4GAT1	negative	overall	Female
BACH1	NA	overall	Female
BANK1	NA	overall	Female
BAX	NA	overall	Female
BCAM	negative	overall	Female
BCAN	negative	overall	Female
BCL2L11	positive	overall	Female
BGN	positive	overall	Female
BID	NA	overall	Female
BIN2	NA	overall	Female
BLMH	negative	overall	Female
BLVRB	NA	overall	Female
BMP4	positive	overall	Female
BMP6	negative	overall	Female
BOC	positive	overall	Female
BTC	negative	overall	Female
BTN2A1	positive	overall	Female
C1QTNF1	positive	overall	Female
C2	NA	overall	Female
C4BPB	negative	overall	Female
CA1	negative	overall	Female
CA11	NA	overall	Female
CA13	negative	overall	Female
CA14	NA	overall	Female
CA2	NA	overall	Female
CA4	negative	overall	Female
CA9	negative	overall	Female
CALB1	negative	overall	Female
CALCA	positive	overall	Female
CALCOCO1	negative	overall	Female
CAMKK1	negative	overall	Female
CANT1	negative	overall	Female
CAPG	NA	overall	Female
CASP10	positive	overall	Female
CASP2	NA	overall	Female
CASP3	NA	overall	Female
CASP8	negative	overall	Female
CBLN4	positive	overall	Female
CC2D1A	NA	overall	Female
CCL11	negative	overall	Female
CCL13	negative	overall	Female
CCL15	negative	overall	Female
CCL17	positive	overall	Female
CCL18	negative	overall	Female
CCL24	negative	overall	Female
CCL25	negative	overall	Female
CCL26	negative	overall	Female
CCL28	negative	overall	Female
CCL3	negative	overall	Female
CCL5	negative	overall	Female
CCL8	negative	overall	Female
CCN1	negative	overall	Female
CCN4	positive	overall	Female
CD14	negative	overall	Female
CD177	negative	overall	Female
CD207	negative	overall	Female
CD209	positive	overall	Female
CD22	positive	overall	Female
CD300LG	negative	overall	Female
CD38	NA	overall	Female
CD40LG	negative	overall	Female
CD5	negative	overall	Female
CD55	negative	overall	Female
CD63	negative	overall	Female
CD69	negative	overall	Female
CD74	positive	overall	Female
CD79B	negative	overall	Female
CD99L2	negative	overall	Female
CDC27	NA	overall	Female
CDC37	NA	overall	Female
CDCP1	negative	overall	Female
CDH1	negative	overall	Female
CDH15	NA	overall	Female
CDH17	negative	overall	Female
CDH2	negative	overall	Female
CDH5	negative	overall	Female
CDH6	negative	overall	Female
CDHR1	positive	overall	Female
CDHR2	negative	overall	Female
CDKN1A	negative	overall	Female
CDKN2D	positive	overall	Female
CDON	negative	overall	Female
CEACAM21	NA	overall	Female
CEACAM3	NA	overall	Female
CES1	negative	overall	Female
CES2	NA	overall	Female
CES3	negative	overall	Female
CETN2	positive	overall	Female
CGREF1	negative	overall	Female
CHAC2	NA	overall	Female
CHI3L1	negative	overall	Female
CHIT1	negative	overall	Female
CHRDL2	negative	overall	Female
CIAPIN1	positive	overall	Female
CKAP4	negative	overall	Female
CKMT1A_CKMT1B	negative	overall	Female
CLEC10A	positive	overall	Female
CLEC11A	positive	overall	Female
CLEC14A	negative	overall	Female
CLEC1A	negative	overall	Female
CLEC1B	negative	overall	Female
CLEC4A	negative	overall	Female
CLEC5A	positive	overall	Female
CLIP2	NA	overall	Female
CLSTN2	positive	overall	Female
CLUL1	negative	overall	Female
CNDP1	positive	overall	Female
CNPY4	NA	overall	Female
CNST	negative	overall	Female
CNTN1	positive	overall	Female
CNTN2	positive	overall	Female
CNTN3	negative	overall	Female
CNTN4	positive	overall	Female
CNTN5	negative	overall	Female
CNTNAP2	negative	overall	Female
COL18A1	positive	overall	Female
COL6A3	positive	overall	Female
COL9A1	negative	overall	Female
COLEC12	negative	overall	Female
COMT	NA	overall	Female
CORO1A	positive	overall	Female
CPA1	negative	overall	Female
CPA2	negative	overall	Female
CPM	positive	overall	Female
CPVL	positive	overall	Female
CPXM1	negative	overall	Female
CRACR2A	positive	overall	Female
CRADD	negative	overall	Female
CREG1	negative	overall	Female
CRHBP	negative	overall	Female
CRIM1	negative	overall	Female
CRISP2	positive	overall	Female
CRNN	negative	overall	Female
CRTAC1	NA	overall	Female
CSF1	positive	overall	Female
CST6	negative	overall	Female
CTF1	NA	overall	Female
CTRB1	positive	overall	Female
CTSD	positive	overall	Female
CXADR	negative	overall	Female
CXCL1	negative	overall	Female
CXCL11	negative	overall	Female
CXCL13	positive	overall	Female
CXCL14	NA	overall	Female
CXCL16	negative	overall	Female
CXCL3	negative	overall	Female
DAB2	NA	overall	Female
DAPP1	NA	overall	Female
DARS1	negative	overall	Female
DBI	negative	overall	Female
DCBLD2	negative	overall	Female
DCTPP1	positive	overall	Female
DCXR	positive	overall	Female
DDAH1	negative	overall	Female
DDC	positive	overall	Female
DFFA	NA	overall	Female
DIABLO	negative	overall	Female
DKK1	negative	overall	Female
DKK3	negative	overall	Female
DKK4	positive	overall	Female
DLK1	positive	overall	Female
DNMBP	positive	overall	Female
DOK2	negative	overall	Female
DPP4	negative	overall	Female
DPP7	negative	overall	Female
DPT	NA	overall	Female
DPY30	NA	overall	Female
DSG3	negative	overall	Female
DSG4	negative	overall	Female
DTX3	positive	overall	Female
DUSP3	NA	overall	Female
EDA2R	negative	overall	Female
EDAR	positive	overall	Female
EDIL3	NA	overall	Female
EFEMP1	negative	overall	Female
EFNA1	positive	overall	Female
EGF	negative	overall	Female
EGLN1	negative	overall	Female
ELOA	NA	overall	Female
ENG	negative	overall	Female
ENPP2	negative	overall	Female
ENPP5	negative	overall	Female
ENPP7	negative	overall	Female
ENTPD2	NA	overall	Female
ENTPD5	negative	overall	Female
EPCAM	negative	overall	Female
EPHA1	negative	overall	Female
EPHA2	negative	overall	Female
EPHB4	negative	overall	Female
EPHB6	positive	overall	Female
EPS8L2	positive	overall	Female
ERBB2	negative	overall	Female
ERBIN	NA	overall	Female
EREG	negative	overall	Female
ERP44	positive	overall	Female
ESAM	negative	overall	Female
ESM1	positive	overall	Female
F3	negative	overall	Female
F9	NA	overall	Female
FABP1	NA	overall	Female
FABP2	positive	overall	Female
FABP5	NA	overall	Female
FABP6	NA	overall	Female
FABP9	positive	overall	Female
FADD	negative	overall	Female
FAM3B	positive	overall	Female
